env_raw,pos_raw,r_idx,th_idx,ph_idx
39319,503265,61,55,33
39212,503266,61,55,34
39442,503329,61,56,33
39292,503330,61,56,34
39439,503393,61,57,33
39222,503394,61,57,34
39198,503456,61,58,32
39647,503457,61,58,33
39632,503458,61,58,34
39323,503520,61,59,32
39924,503521,61,59,33
39815,503522,61,59,34
39565,503584,61,60,32
40100,503585,61,60,33
39861,503586,61,60,34
39490,503648,61,61,32
40074,503649,61,61,33
39923,503650,61,61,34
39490,503712,61,62,32
40095,503713,61,62,33
40119,503714,61,62,34
39278,503715,61,62,35
39678,503776,61,63,32
40369,503777,61,63,33
40215,503778,61,63,34
39306,503779,61,63,35
39746,503840,61,64,32
40451,503841,61,64,33
40216,503842,61,64,34
39286,503843,61,64,35
39687,503904,61,65,32
40340,503905,61,65,33
40158,503906,61,65,34
39561,503968,61,66,32
40222,503969,61,66,33
40185,503970,61,66,34
39304,503971,61,66,35
39619,504032,61,67,32
40445,504033,61,67,33
40323,504034,61,67,34
39438,504035,61,67,35
39849,504096,61,68,32
40432,504097,61,68,33
40365,504098,61,68,34
39368,504099,61,68,35
39734,504160,61,69,32
40277,504161,61,69,33
40180,504162,61,69,34
39211,504163,61,69,35
39582,504224,61,70,32
40205,504225,61,70,33
40160,504226,61,70,34
39344,504227,61,70,35
39595,504288,61,71,32
40276,504289,61,71,33
40160,504290,61,71,34
39289,504291,61,71,35
39530,504352,61,72,32
40230,504353,61,72,33
40060,504354,61,72,34
39495,504416,61,73,32
39941,504417,61,73,33
39764,504418,61,73,34
39224,504480,61,74,32
39778,504481,61,74,33
39809,504482,61,74,34
39247,504544,61,75,32
39738,504545,61,75,33
39665,504546,61,75,34
39265,504608,61,76,32
39590,504609,61,76,33
39415,504610,61,76,34
39430,504673,61,77,33
39265,504674,61,77,34
39182,504737,61,78,33
39202,504801,61,79,33
39188,505720,61,93,56
39267,505784,61,94,56
39185,505848,61,95,56
39303,505912,61,96,56
39395,505976,61,97,56
39202,506040,61,98,56
39405,506104,61,99,56
39279,506168,61,100,56
39334,506232,61,101,56
39334,506296,61,102,56
39216,506360,61,103,56
39237,506424,61,104,56
39222,507018,61,114,10
39326,507082,61,115,10
39270,507146,61,116,10
39362,507210,61,117,10
39459,507274,61,118,10
39300,507338,61,119,10
39475,507402,61,120,10
39385,507466,61,121,10
39357,507530,61,122,10
39443,507594,61,123,10
39245,507658,61,124,10
39251,507722,61,125,10
39168,593598,72,58,62
39286,593662,72,59,62
39409,593726,72,60,62
39487,593790,72,61,62
39258,593791,72,61,63
39221,593853,72,62,61
39560,593854,72,62,62
39357,593917,72,63,61
39765,593918,72,63,62
39354,593919,72,63,63
39381,593981,72,64,61
39802,593982,72,64,62
39407,593983,72,64,63
39232,594045,72,65,61
39748,594046,72,65,62
39472,594047,72,65,63
39310,594109,72,66,61
39642,594110,72,66,62
39368,594111,72,66,63
39438,594173,72,67,61
39748,594174,72,67,62
39453,594175,72,67,63
39538,594237,72,68,61
39933,594238,72,68,62
39597,594239,72,68,63
39417,594301,72,69,61
39874,594302,72,69,62
39635,594303,72,69,63
39303,594365,72,70,61
39830,594366,72,70,62
39615,594367,72,70,63
39453,594429,72,71,61
39790,594430,72,71,62
39412,594431,72,71,63
39346,594493,72,72,61
39850,594494,72,72,62
39525,594495,72,72,63
39354,594557,72,73,61
39802,594558,72,73,62
39517,594559,72,73,63
39594,594622,72,74,62
39354,594623,72,74,63
39250,594685,72,75,61
39622,594686,72,75,62
39207,594687,72,75,63
39219,594749,72,76,61
39583,594750,72,76,62
39255,594751,72,76,63
39528,594814,72,77,62
39168,594815,72,77,63
39334,594878,72,78,62
39216,594879,72,78,63
39225,594942,72,79,62
39205,619070,75,72,62
39180,619134,75,73,62
39205,700480,85,65,0
39242,700544,85,66,0
39250,700545,85,66,1
39366,700608,85,67,0
39194,700609,85,67,1
39218,700672,85,68,0
39200,700673,85,68,1
39246,700737,85,69,1
39177,700928,85,72,0
39303,700929,85,72,1
39184,700993,85,73,1
39172,701218,85,76,34
39641,701345,85,78,33
39382,701346,85,78,34
39808,701409,85,79,33
39734,701410,85,79,34
39808,701473,85,80,33
39827,701474,85,80,34
39186,701536,85,81,32
40075,701537,85,81,33
40136,701538,85,81,34
39280,701600,85,82,32
40427,701601,85,82,33
40300,701602,85,82,34
39244,701664,85,83,32
40306,701665,85,83,33
40171,701666,85,83,34
39241,701728,85,84,32
40488,701729,85,84,33
40491,701730,85,84,34
39171,701731,85,84,35
39581,701792,85,85,32
40848,701793,85,85,33
40729,701794,85,85,34
39456,701795,85,85,35
39737,701856,85,86,32
40955,701857,85,86,33
40757,701858,85,86,34
39333,701859,85,86,35
39637,701920,85,87,32
40941,701921,85,87,33
40784,701922,85,87,34
