env_raw,pos_raw,r_idx,th_idx,ph_idx
39175,503393,61,57,33
39166,503456,61,58,32
39339,503520,61,59,32
39529,503521,61,59,33
39174,503522,61,59,34
39619,503584,61,60,32
39881,503585,61,60,33
39235,503586,61,60,34
39542,503648,61,61,32
39902,503649,61,61,33
39531,503650,61,61,34
39734,503712,61,62,32
39797,503713,61,62,33
39578,503714,61,62,34
39859,503776,61,63,32
40260,503777,61,63,33
39722,503778,61,63,34
39957,503840,61,64,32
40313,503841,61,64,33
39743,503842,61,64,34
39363,503903,61,65,31
39865,503904,61,65,32
40281,503905,61,65,33
39859,503906,61,65,34
39236,503967,61,66,31
39960,503968,61,66,32
40221,503969,61,66,33
39797,503970,61,66,34
39350,504031,61,67,31
40061,504032,61,67,32
40502,504033,61,67,33
39963,504034,61,67,34
39181,504095,61,68,31
40268,504096,61,68,32
40591,504097,61,68,33
40144,504098,61,68,34
39279,504159,61,69,31
40116,504160,61,69,32
40427,504161,61,69,33
40000,504162,61,69,34
39319,504223,61,70,31
40099,504224,61,70,32
40430,504225,61,70,33
40027,504226,61,70,34
39345,504287,61,71,31
40132,504288,61,71,32
40522,504289,61,71,33
40036,504290,61,71,34
39199,504351,61,72,31
40049,504352,61,72,32
40563,504353,61,72,33
40022,504354,61,72,34
39930,504416,61,73,32
40302,504417,61,73,33
39797,504418,61,73,34
39218,504479,61,74,31
39854,504480,61,74,32
40159,504481,61,74,33
39827,504482,61,74,34
39186,504543,61,75,31
39900,504544,61,75,32
40211,504545,61,75,33
39737,504546,61,75,34
39859,504608,61,76,32
40082,504609,61,76,33
39575,504610,61,76,34
39613,504672,61,77,32
39827,504673,61,77,33
39392,504674,61,77,34
39427,504736,61,78,32
39683,504737,61,78,33
39297,504738,61,78,34
39389,504800,61,79,32
39712,504801,61,79,33
39347,504865,61,80,33
39208,505528,61,90,56
39289,505592,61,91,56
39186,505655,61,92,55
39433,505656,61,92,56
39191,505719,61,93,55
39564,505720,61,93,56
39285,505783,61,94,55
39677,505784,61,94,56
39335,505847,61,95,55
39585,505848,61,95,56
39296,505911,61,96,55
39684,505912,61,96,56
39511,505975,61,97,55
39765,505976,61,97,56
39284,506039,61,98,55
39530,506040,61,98,56
39374,506103,61,99,55
39714,506104,61,99,56
39365,506167,61,100,55
39617,506168,61,100,56
39217,506231,61,101,55
39610,506232,61,101,56
39285,506295,61,102,55
39557,506296,61,102,56
39512,506360,61,103,56
39502,506424,61,104,56
39330,506488,61,105,56
39169,506552,61,106,56
39272,506634,61,108,10
39286,506698,61,109,10
39550,506762,61,110,10
39416,506826,61,111,10
39638,506890,61,112,10
39590,506954,61,113,10
39239,506955,61,113,11
39639,507018,61,114,10
39759,507082,61,115,10
39255,507083,61,115,11
39561,507146,61,116,10
39847,507210,61,117,10
39185,507211,61,117,11
39768,507274,61,118,10
39274,507275,61,118,11
39668,507338,61,119,10
39721,507402,61,120,10
39221,507403,61,120,11
39497,507466,61,121,10
39688,507530,61,122,10
39268,507531,61,122,11
39483,507594,61,123,10
39480,507658,61,124,10
39232,507722,61,125,10
39263,507786,61,126,10
39190,512757,62,75,53
39273,514890,62,109,10
39312,515018,62,111,10
39168,515019,62,111,11
39206,515146,62,113,10
39273,515210,62,114,10
39253,552992,67,64,32
39346,552993,67,64,33
39335,553056,67,65,32
39522,553057,67,65,33
39190,553120,67,66,32
39439,553121,67,66,33
39354,553184,67,67,32
39508,553185,67,67,33
39592,553248,67,68,32
39731,553249,67,68,33
39227,553250,67,68,34
39612,553312,67,69,32
39790,553313,67,69,33
39364,553314,67,69,34
39613,553376,67,70,32
39873,553377,67,70,33
39440,553378,67,70,34
39655,553440,67,71,32
39824,553441,67,71,33
39359,553442,67,71,34
39650,553504,67,72,32
39996,553505,67,72,33
39570,553506,67,72,34
39711,553568,67,73,32
40050,553569,67,73,33
39514,553570,67,73,34
39611,553632,67,74,32
39868,553633,67,74,33
39529,553634,67,74,34
39629,553696,67,75,32
39915,553697,67,75,33
39573,553698,67,75,34
39734,553760,67,76,32
40098,553761,67,76,33
39606,553762,67,76,34
39694,553824,67,77,32
40081,553825,67,77,33
39650,553826,67,77,34
39509,553888,67,78,32
39837,553889,67,78,33
39464,553890,67,78,34
39673,553952,67,79,32
40022,553953,67,79,33
39640,553954,67,79,34
39536,554016,67,80,32
39974,554017,67,80,33
39532,554018,67,80,34
39347,554080,67,81,32
39709,554081,67,81,33
39419,554082,67,81,34
39308,554144,67,82,32
39632,554145,67,82,33
39382,554146,67,82,34
39368,554208,67,83,32
39607,554209,67,83,33
39424,554210,67,83,34
39219,554272,67,84,32
39532,554273,67,84,33
39232,554274,67,84,34
39316,554337,67,85,33
39367,554401,67,86,33
