env_raw,pos_raw,r_idx,th_idx,ph_idx
39311,503265,61,55,33
39273,503266,61,55,34
39513,503329,61,56,33
39419,503330,61,56,34
39456,503393,61,57,33
39336,503394,61,57,34
39487,503457,61,58,33
39499,503458,61,58,34
39821,503521,61,59,33
39695,503522,61,59,34
39390,503584,61,60,32
39978,503585,61,60,33
39872,503586,61,60,34
39368,503648,61,61,32
40024,503649,61,61,33
39971,503650,61,61,34
39252,503712,61,62,32
39958,503713,61,62,33
40000,503714,61,62,34
39438,503776,61,63,32
39973,503777,61,63,33
40017,503778,61,63,34
39187,503779,61,63,35
39599,503840,61,64,32
40219,503841,61,64,33
40056,503842,61,64,34
39265,503843,61,64,35
39554,503904,61,65,32
40324,503905,61,65,33
40146,503906,61,65,34
39445,503968,61,66,32
40176,503969,61,66,33
40018,503970,61,66,34
39316,504032,61,67,32
40026,504033,61,67,33
39877,504034,61,67,34
39528,504096,61,68,32
40049,504097,61,68,33
40061,504098,61,68,34
39535,504160,61,69,32
40144,504161,61,69,33
40081,504162,61,69,34
39559,504224,61,70,32
40210,504225,61,70,33
40037,504226,61,70,34
39585,504288,61,71,32
40078,504289,61,71,33
39795,504290,61,71,34
39395,504352,61,72,32
39987,504353,61,72,33
39792,504354,61,72,34
39444,504416,61,73,32
39981,504417,61,73,33
39773,504418,61,73,34
39484,504480,61,74,32
39958,504481,61,74,33
39685,504482,61,74,34
39580,504544,61,75,32
39872,504545,61,75,33
39447,504546,61,75,34
39452,504608,61,76,32
39651,504609,61,76,33
39211,504610,61,76,34
39297,504672,61,77,32
39532,504673,61,77,33
39241,504674,61,77,34
39293,504736,61,78,32
39638,504737,61,78,33
39495,504800,61,79,32
39713,504801,61,79,33
39477,504864,61,80,32
39594,504865,61,80,33
39396,504928,61,81,32
39456,504929,61,81,33
39331,504992,61,82,32
39408,504993,61,82,33
39459,505056,61,83,32
39545,505057,61,83,33
39486,505120,61,84,32
39508,505121,61,84,33
39479,505184,61,85,32
39420,505185,61,85,33
39290,505248,61,86,32
39322,505249,61,86,33
39338,505312,61,87,32
39355,505313,61,87,33
39489,505376,61,88,32
39516,505377,61,88,33
39401,505440,61,89,32
39502,505441,61,89,33
39376,505504,61,90,32
39335,505505,61,90,33
39463,505568,61,91,32
39431,505569,61,91,33
39382,505632,61,92,32
39534,505633,61,92,33
39166,505696,61,93,32
39397,505697,61,93,33
39425,505720,61,93,56
39292,505760,61,94,32
39402,505761,61,94,33
39418,505784,61,94,56
39333,505824,61,95,32
39486,505825,61,95,33
39406,505848,61,95,56
39274,505871,61,96,15
39437,505889,61,96,33
39613,505912,61,96,56
39427,505935,61,97,15
39392,505953,61,97,33
39616,505976,61,97,56
39405,506017,61,98,33
39580,506040,61,98,56
39346,506063,61,99,15
39327,506081,61,99,33
39703,506104,61,99,56
39298,506127,61,100,15
39506,506168,61,100,56
39198,506191,61,101,15
39244,506209,61,101,33
39724,506232,61,101,56
39335,506255,61,102,15
39661,506296,61,102,56
39598,506360,61,103,56
39651,506424,61,104,56
39515,506488,61,105,56
39386,506552,61,106,56
39424,506616,61,107,56
39249,506680,61,108,56
39228,506744,61,109,56
39329,512993,62,79,33
39433,513057,62,80,33
39188,513058,62,80,34
39447,513121,62,81,33
39206,513184,62,82,32
39712,513185,62,82,33
39382,513186,62,82,34
39696,513249,62,83,33
39466,513250,62,83,34
39719,513313,62,84,33
39413,513314,62,84,34
39263,513376,62,85,32
39794,513377,62,85,33
39518,513378,62,85,34
39204,513440,62,86,32
40032,513441,62,86,33
39658,513442,62,86,34
39886,513505,62,87,33
39600,513506,62,87,34
39368,513568,62,88,32
39971,513569,62,88,33
39637,513570,62,88,34
39346,513632,62,89,32
40052,513633,62,89,33
39822,513634,62,89,34
39946,513697,62,90,33
39663,513698,62,90,34
39200,513760,62,91,32
39914,513761,62,91,33
39604,513762,62,91,34
39241,513824,62,92,32
40053,513825,62,92,33
39780,513826,62,92,34
39932,513889,62,93,33
39663,513890,62,93,34
39903,513953,62,94,33
39577,513954,62,94,34
39926,514017,62,95,33
39605,514018,62,95,34
39759,514081,62,96,33
39522,514082,62,96,34
39691,514145,62,97,33
39389,514146,62,97,34
39684,514209,62,98,33
39433,514210,62,98,34
39467,514273,62,99,33
39297,514274,62,99,34
39490,514337,62,100,33
39197,514338,62,100,34
39267,514401,62,101,33
39167,537761,65,82,33
39420,537825,65,83,33
39570,537889,65,84,33
39184,537890,65,84,34
39473,537953,65,85,33
39228,538016,65,86,32
39769,538017,65,86,33
39384,538018,65,86,34
39188,538080,65,87,32
