env_raw,pos_raw,r_idx,th_idx,ph_idx
39182,503136,61,53,32
39208,503137,61,53,33
39277,503264,61,55,32
39377,503265,61,55,33
39455,503328,61,56,32
39435,503329,61,56,33
39580,503392,61,57,32
39597,503393,61,57,33
39209,503455,61,58,31
39621,503456,61,58,32
39702,503457,61,58,33
39453,503458,61,58,34
39665,503520,61,59,32
39782,503521,61,59,33
39423,503522,61,59,34
39178,503583,61,60,31
39601,503584,61,60,32
39808,503585,61,60,33
39414,503586,61,60,34
39221,503647,61,61,31
39726,503648,61,61,32
39718,503649,61,61,33
39441,503650,61,61,34
39203,503711,61,62,31
39777,503712,61,62,32
39806,503713,61,62,33
39480,503714,61,62,34
39199,503775,61,63,31
39753,503776,61,63,32
39967,503777,61,63,33
39539,503778,61,63,34
39603,503840,61,64,32
39858,503841,61,64,33
39482,503842,61,64,34
39363,503904,61,65,32
39614,503905,61,65,33
39483,503906,61,65,34
39627,503968,61,66,32
39692,503969,61,66,33
39259,503970,61,66,34
39562,504032,61,67,32
39723,504033,61,67,33
39331,504034,61,67,34
39427,504096,61,68,32
39688,504097,61,68,33
39353,504098,61,68,34
39221,504160,61,69,32
39464,504161,61,69,33
39246,504162,61,69,34
39251,504224,61,70,32
39327,504225,61,70,33
39326,504289,61,71,33
39271,504353,61,72,33
39196,593533,72,57,61
39358,593597,72,58,61
39240,593598,72,58,62
39312,593661,72,59,61
39334,593662,72,59,62
39180,593724,72,60,60
39434,593725,72,60,61
39320,593726,72,60,62
39291,593788,72,61,60
39721,593789,72,61,61
39501,593790,72,61,62
39387,593852,72,62,60
39766,593853,72,62,61
39645,593854,72,62,62
39299,593916,72,63,60
39725,593917,72,63,61
39724,593918,72,63,62
39279,593980,72,64,60
39702,593981,72,64,61
39723,593982,72,64,62
39482,594044,72,65,60
39801,594045,72,65,61
39653,594046,72,65,62
39500,594108,72,66,60
40015,594109,72,66,61
39759,594110,72,66,62
39574,594172,72,67,60
40024,594173,72,67,61
39914,594174,72,67,62
39202,594175,72,67,63
39372,594236,72,68,60
40007,594237,72,68,61
39911,594238,72,68,62
39236,594239,72,68,63
39436,594300,72,69,60
39921,594301,72,69,61
39800,594302,72,69,62
39201,594303,72,69,63
39544,594364,72,70,60
39984,594365,72,70,61
39830,594366,72,70,62
39442,594428,72,71,60
40016,594429,72,71,61
39922,594430,72,71,62
39259,594492,72,72,60
39867,594493,72,72,61
39832,594494,72,72,62
39173,594495,72,72,63
39278,594556,72,73,60
39703,594557,72,73,61
39633,594558,72,73,62
39273,594620,72,74,60
39801,594621,72,74,61
39542,594622,72,74,62
39287,594684,72,75,60
39826,594685,72,75,61
39692,594686,72,75,62
39696,594749,72,76,61
39611,594750,72,76,62
39449,594813,72,77,61
39390,594814,72,77,62
39542,594877,72,78,61
39351,594878,72,78,62
39340,594941,72,79,61
39199,594942,72,79,62
39181,595005,72,80,61
39184,918366,112,13,30
39171,918368,112,13,32
39181,918429,112,14,29
39248,918430,112,14,30
39266,918431,112,14,31
39302,918432,112,14,32
39210,918433,112,14,33
39249,918493,112,15,29
39338,918494,112,15,30
39288,918495,112,15,31
39328,918496,112,15,32
39271,918497,112,15,33
39237,918498,112,15,34
39186,918556,112,16,28
39297,918557,112,16,29
39346,918558,112,16,30
39385,918559,112,16,31
39386,918560,112,16,32
39369,918561,112,16,33
39285,918562,112,16,34
39205,918563,112,16,35
39273,918621,112,17,29
39420,918622,112,17,30
39438,918623,112,17,31
39417,918624,112,17,32
39401,918625,112,17,33
39306,918626,112,17,34
39209,918627,112,17,35
39206,918684,112,18,28
39272,918685,112,18,29
39389,918686,112,18,30
39447,918687,112,18,31
39409,918688,112,18,32
39432,918689,112,18,33
39319,918690,112,18,34
39235,918691,112,18,35
39191,918748,112,19,28
39264,918749,112,19,29
39353,918750,112,19,30
39357,918751,112,19,31
39417,918752,112,19,32
39431,918753,112,19,33
39336,918754,112,19,34
39230,918755,112,19,35
39248,918812,112,20,28
39350,918813,112,20,29
39402,918814,112,20,30
39399,918815,112,20,31
39386,918816,112,20,32
39340,918817,112,20,33
39304,918818,112,20,34
39179,918819,112,20,35
39245,918876,112,21,28
39342,918877,112,21,29
39435,918878,112,21,30
39465,918879,112,21,31
39429,918880,112,21,32
39346,918881,112,21,33
39275,918882,112,21,34
39193,918883,112,21,35
39239,918940,112,22,28
39370,918941,112,22,29
39411,918942,112,22,30
39511,918943,112,22,31
39447,918944,112,22,32
39391,918945,112,22,33
39240,918946,112,22,34
39258,919004,112,23,28
39383,919005,112,23,29
39465,919006,112,23,30
39503,919007,112,23,31
39461,919008,112,23,32
39427,919009,112,23,33
39255,919010,112,23,34
39214,919068,112,24,28
39394,919069,112,24,29
39472,919070,112,24,30
39477,919071,112,24,31
39451,919072,112,24,32
39382,919073,112,24,33
39300,919074,112,24,34
39333,919133,112,25,29
39371,919134,112,25,30
39493,919135,112,25,31
39476,919136,112,25,32
39411,919137,112,25,33
39303,919138,112,25,34
39266,919197,112,26,29
39380,919198,112,26,30
39424,919199,112,26,31
39415,919200,112,26,32
39375,919201,112,26,33
39293,919202,112,26,34
39189,919261,112,27,29
39269,919262,112,27,30
39346,919263,112,27,31
39289,919264,112,27,32
39287,919265,112,27,33
39187,919266,112,27,34
39199,919326,112,28,30
39213,919327,112,28,31
39206,919328,112,28,32
