env_raw,pos_raw,r_idx,th_idx,ph_idx
39195,503008,61,51,32
39420,503072,61,52,32
39436,503073,61,52,33
39172,503074,61,52,34
39493,503136,61,53,32
39546,503137,61,53,33
39277,503138,61,53,34
39632,503264,61,55,32
39736,503265,61,55,33
39441,503266,61,55,34
39261,503327,61,56,31
39678,503328,61,56,32
39722,503329,61,56,33
39516,503330,61,56,34
39381,503391,61,57,31
39814,503392,61,57,32
39840,503393,61,57,33
39488,503394,61,57,34
39503,503455,61,58,31
39863,503456,61,58,32
39998,503457,61,58,33
39800,503458,61,58,34
39415,503519,61,59,31
39879,503520,61,59,32
40104,503521,61,59,33
39810,503522,61,59,34
39192,503523,61,59,35
39316,503583,61,60,31
39849,503584,61,60,32
40120,503585,61,60,33
39857,503586,61,60,34
39170,503587,61,60,35
39367,503647,61,61,31
39785,503648,61,61,32
39976,503649,61,61,33
39885,503650,61,61,34
39335,503711,61,62,31
39861,503712,61,62,32
39963,503713,61,62,33
39752,503714,61,62,34
39347,503775,61,63,31
39867,503776,61,63,32
40140,503777,61,63,33
39841,503778,61,63,34
39755,503840,61,64,32
40107,503841,61,64,33
39846,503842,61,64,34
39517,503904,61,65,32
39903,503905,61,65,33
39886,503906,61,65,34
39584,503968,61,66,32
39745,503969,61,66,33
39651,503970,61,66,34
39517,504032,61,67,32
39786,504033,61,67,33
39571,504034,61,67,34
39393,504096,61,68,32
39765,504097,61,68,33
39671,504098,61,68,34
39252,504160,61,69,32
39621,504161,61,69,33
39596,504162,61,69,34
39546,504225,61,70,33
39464,504226,61,70,34
39328,504289,61,71,33
39292,504290,61,71,34
39340,504353,61,72,33
39271,504354,61,72,34
39188,504418,61,73,34
39171,528289,64,62,33
39207,528353,64,63,33
39264,593469,72,56,61
39294,593533,72,57,61
39351,593597,72,58,61
39253,593598,72,58,62
39226,593660,72,59,60
39341,593661,72,59,61
39310,593662,72,59,62
39314,593724,72,60,60
39537,593725,72,60,61
39237,593726,72,60,62
39333,593788,72,61,60
39710,593789,72,61,61
39495,593790,72,61,62
39275,593852,72,62,60
39703,593853,72,62,61
39593,593854,72,62,62
39299,593916,72,63,60
39576,593917,72,63,61
39641,593918,72,63,62
39380,593980,72,64,60
39648,593981,72,64,61
39566,593982,72,64,62
39424,594044,72,65,60
39787,594045,72,65,61
39607,594046,72,65,62
39382,594108,72,66,60
39881,594109,72,66,61
39661,594110,72,66,62
39359,594172,72,67,60
39878,594173,72,67,61
39784,594174,72,67,62
39338,594236,72,68,60
39770,594237,72,68,61
39756,594238,72,68,62
39343,594300,72,69,60
39829,594301,72,69,61
39629,594302,72,69,62
39368,594364,72,70,60
39832,594365,72,70,61
39716,594366,72,70,62
39216,594428,72,71,60
39838,594429,72,71,61
39821,594430,72,71,62
39621,594493,72,72,61
39695,594494,72,72,62
39194,594556,72,73,60
39645,594557,72,73,61
39450,594558,72,73,62
39668,594621,72,74,61
39506,594622,72,74,62
39679,594685,72,75,61
39647,594686,72,75,62
39488,594749,72,76,61
39541,594750,72,76,62
39392,594813,72,77,61
39282,594814,72,77,62
39442,594877,72,78,61
39390,594878,72,78,62
39226,594941,72,79,61
39177,594942,72,79,62
39179,918366,112,13,30
39180,918367,112,13,31
39193,918368,112,13,32
39181,918369,112,13,33
39223,918429,112,14,29
39273,918430,112,14,30
39329,918431,112,14,31
39385,918432,112,14,32
39285,918433,112,14,33
39280,918493,112,15,29
39403,918494,112,15,30
39387,918495,112,15,31
39428,918496,112,15,32
39394,918497,112,15,33
39339,918498,112,15,34
39212,918499,112,15,35
39198,918556,112,16,28
39376,918557,112,16,29
39420,918558,112,16,30
39480,918559,112,16,31
39490,918560,112,16,32
39488,918561,112,16,33
39401,918562,112,16,34
39365,918563,112,16,35
39375,918621,112,17,29
39529,918622,112,17,30
39567,918623,112,17,31
39546,918624,112,17,32
39544,918625,112,17,33
39455,918626,112,17,34
39360,918627,112,17,35
39240,918628,112,17,36
39284,918684,112,18,28
39386,918685,112,18,29
39498,918686,112,18,30
39608,918687,112,18,31
39586,918688,112,18,32
39589,918689,112,18,33
39492,918690,112,18,34
39423,918691,112,18,35
39217,918692,112,18,36
39214,918748,112,19,28
39322,918749,112,19,29
39491,918750,112,19,30
39519,918751,112,19,31
39607,918752,112,19,32
39628,918753,112,19,33
39531,918754,112,19,34
39417,918755,112,19,35
39295,918756,112,19,36
39217,918812,112,20,28
39353,918813,112,20,29
39438,918814,112,20,30
39531,918815,112,20,31
39583,918816,112,20,32
39552,918817,112,20,33
39500,918818,112,20,34
39359,918819,112,20,35
39232,918820,112,20,36
39221,918876,112,21,28
39349,918877,112,21,29
39494,918878,112,21,30
39564,918879,112,21,31
39574,918880,112,21,32
39586,918881,112,21,33
39516,918882,112,21,34
39420,918883,112,21,35
39222,918884,112,21,36
39248,918940,112,22,28
39416,918941,112,22,29
39447,918942,112,22,30
39563,918943,112,22,31
39553,918944,112,22,32
39503,918945,112,22,33
39481,918946,112,22,34
39335,918947,112,22,35
39176,918948,112,22,36
39270,919004,112,23,28
39417,919005,112,23,29
39525,919006,112,23,30
39601,919007,112,23,31
39567,919008,112,23,32
39577,919009,112,23,33
39393,919010,112,23,34
39312,919011,112,23,35
39247,919068,112,24,28
39458,919069,112,24,29
39551,919070,112,24,30
39575,919071,112,24,31
39610,919072,112,24,32
39543,919073,112,24,33
39487,919074,112,24,34
39338,919075,112,24,35
39212,919076,112,24,36
39209,919132,112,25,28
39395,919133,112,25,29
39484,919134,112,25,30
39637,919135,112,25,31
39633,919136,112,25,32
39608,919137,112,25,33
39494,919138,112,25,34
39334,919139,112,25,35
39173,919196,112,26,28
39361,919197,112,26,29
39484,919198,112,26,30
39570,919199,112,26,31
39601,919200,112,26,32
39583,919201,112,26,33
39505,919202,112,26,34
39308,919203,112,26,35
39278,919261,112,27,29
39392,919262,112,27,30
39528,919263,112,27,31
39501,919264,112,27,32
39495,919265,112,27,33
39425,919266,112,27,34
39277,919267,112,27,35
39195,919325,112,28,29
39366,919326,112,28,30
39404,919327,112,28,31
39418,919328,112,28,32
39389,919329,112,28,33
39360,919330,112,28,34
39282,919331,112,28,35
39242,919390,112,29,30
39383,919391,112,29,31
39375,919392,112,29,32
39380,919393,112,29,33
39291,919394,112,29,34
39243,919455,112,30,31
